研修プログラムコード,コース番号,コマ記号,表示順,所要時間,タイトル,説明
gen,55,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,55,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,55,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,56,B0,1,0.5,コールセンター・CS職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,56,B11,2,0.5,生成AIによる応対文書作成・基礎,応対履歴の要約入力
gen,56,B12,3,1.0,生成AIによる応対文書作成・実践,折り返し・エスカレーション報告 / 謝罪メール
gen,56,B21,4,0.5,生成AIによる応対データ整理・基礎,問い合わせ分類と件数集計
gen,56,B22,5,0.5,生成AIによる応対データ整理・実践,応対時間の整理
gen,56,B3,6,1.0,生成AIによる品質改善応用①,FAQ・トークスクリプトの整備
gen,56,B4,7,1.0,生成AIによる品質改善応用②,VOC(顧客の声)レポート作成
gen,56,B5,8,1.0,生成AIによる品質改善総合演習,ここまでの成果物を統合し、自身の業務を題材とした品質改善の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,56,C1,9,1.5,応対業務の生成AIテンプレート作成,後処理(ACW)短縮テンプレート / エスカレーション報告テンプレ
gen,56,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,56,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,56,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,56,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,57,B0,1,0.5,フィットネストレーナー職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,57,B11,2,0.5,生成AIによる会員文書作成・基礎,体験者へのフォロー連絡
gen,57,B12,3,1.0,生成AIによる会員文書作成・実践,セッション記録の整形 / 継続面談の準備メモ
gen,57,B21,4,0.5,生成AIによる会員データ整理・基礎,利用頻度データの整理
gen,57,B22,5,0.5,生成AIによる会員データ整理・実践,体組成記録の推移整理
gen,57,B3,6,1.0,生成AIによる指導準備応用①,一般的なトレーニングメニュー例の文書化(個別の医学的判断は対象外)
gen,57,B4,7,1.0,生成AIによる指導準備応用②,SNS発信文
gen,57,B5,8,1.0,生成AIによる指導準備総合演習,ここまでの成果物を統合し、自身の業務を題材とした指導準備の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,57,C1,9,1.5,会員対応の生成AIテンプレート作成,セッション記録テンプレ / 休眠会員への連絡文集
gen,57,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,57,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,57,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,57,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,58,B0,1,0.5,葬祭ディレクター職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,58,B11,2,0.5,生成AIによる施行文書作成・基礎,打合せ確認書の作成
gen,58,B12,3,1.0,生成AIによる施行文書作成・実践,供花・返礼品の案内文 / 寺院・式場への連絡文
gen,58,B21,4,0.5,生成AIによる施行データ整理・基礎,施行スケジュール表の作成
gen,58,B22,5,0.5,生成AIによる施行データ整理・実践,見積項目の整理
gen,58,B3,6,1.0,生成AIによる相談・フォロー応用①,事前相談会の案内資料
gen,58,B4,7,1.0,生成AIによる相談・フォロー応用②,施行後のアフターフォロー文(法要案内)
gen,58,B5,8,1.0,生成AIによる相談・フォロー総合演習,ここまでの成果物を統合し、自身の業務を題材とした相談・フォローの通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
gen,58,C1,9,1.5,施行業務の生成AIテンプレート作成,打合せ確認テンプレ / 法要案内の年間文例集
gen,58,C2,10,0.5,生成AIテンプレートの業務フロー配置,作成した生成AIテンプレートを、自身の業務のどの工程で使うかにマッピングします
gen,58,D1,11,1.0,生成AIテンプレートの運用・修正演習,研修内で作成した自身の業務用生成AIテンプレートを対象に、出力が期待と異なる場合の修正(条件の追加・例示・出力形式の指定・作業の分割)・再実行・結果検証の手順を演習形式で習得します
gen,58,D2,12,0.5,業務での確認・チェック手順の習得演習,生成AI出力の検算・照合、機密情報の取り扱いなど、自身の業務に即した確認手順を演習で習得し、自業務向けに作成します
gen,58,D3,13,0.5,実務組み込み計画の作成・講師フィードバック,研修で作成した文書・生成AIテンプレートを日次・週次業務のどの工程で使うかの計画にまとめ、講師が個別に添削・フィードバックします
gen,59,B0,1,0.5,税理士補助職業務の生成AI活用実演・要点解説,講師が本コースで扱う一連の業務を生成AIで通しで実演し、要点を解説します
gen,59,B11,2,0.5,生成AIによる顧問先文書作成・基礎,資料依頼文
gen,59,B12,3,1.0,生成AIによる顧問先文書作成・実践,月次報告の所見文下書き / 年末調整の案内文
gen,59,B21,4,0.5,生成AIによる会計データ整理・基礎,入力前の資料仕分け(通帳・領収書)
gen,59,B22,5,0.5,生成AIによる会計データ整理・実践,試算表チェックの観点整理
gen,59,B3,6,1.0,生成AIによる顧問業務応用①,税制改正情報の要約と顧問先向け案内(最終確認は有資格者)
gen,59,B4,7,1.0,生成AIによる顧問業務応用②,決算スケジュール管理表
gen,59,B5,8,1.0,生成AIによる顧問業務総合演習,ここまでの成果物を統合し、自身の業務を題材とした顧問業務の通し演習を行います(マスキング済みデータ又はダミーデータを使用し、講師の添削・指導のもと、生成AIを用いて訓練用の成果物を完成させます)
